4,3,2,1,5,,,,6,,',",",),"DATEADD(D,-",",GETDATE())"
FECHA,Direcciуn de correo electrуnico,-  RAZУN SOCIAL,#�NOMBRE?,- CУDIGO DE ACTIVIDAD PRINCIPAL CIIU,#�NOMBRE?,- CORREO ELECTRУNICO,#�NOMBRE?,#�NOMBRE?,"INSERT INTO EMPRESAS (RUC , RazonSocial, CorreoElectronico, FechaRegistro, CIIU, NumeroEstablecimientos)  VALUES  (",,,,,
06/10/2025 11:15,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,242,PEDRO JOSE SEBASTIAN BUSTAMANTE TESTINO,oefa@ememsa.com,986556711,1,"INSERT INTO EMPRESAS (RUC , RazonSocial, CorreoElectronico, FechaRegistro, CIIU, NumeroEstablecimientos)  VALUES  ('20100276322','EMPRESA METAL MECANICA S.A','ramosklembert.07@gmail.com',DATEADD(D,-1,GETDATE()),'242',1)",,,,,
6/14/2025,aalvarado1512@gmail.com,Otass,20565423372,Alcantarillas ,Otass,aalvarado1512@gmail.com,982628545,7,"INSERT INTO EMPRESAS (RUC , RazonSocial, CorreoElectronico, FechaRegistro, CIIU, NumeroEstablecimientos)  VALUES  ('20565423372','Otass','aalvarado1512@gmail.com',DATEADD(D,-7,GETDATE()),'Alcantarillas ',7)",,,,,
6/18/2025 9:53,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,1020,Miguel Jesъs Leуn Chang ,jcruz@hayduk.com.pe,981283600,3,"INSERT INTO EMPRESAS (RUC , RazonSocial, CorreoElectronico, FechaRegistro, CIIU, NumeroEstablecimientos)  VALUES  ('20136165667','Pesquera Hayduk SA','cruzllacsahuanga@gmail.com',DATEADD(D,-3,GETDATE()),'1020',3)",,,,,
6/23/2025 9:35:52,raysareyesv@gmail.com,Energia Renovable del Sur ,20392847406,3510,Jaime Andrйs Toledo Ruiz ,gdasudamerica@acciona.com,964936129,1,"INSERT INTO EMPRESAS (RUC , RazonSocial, CorreoElectronico, FechaRegistro, CIIU, NumeroEstablecimientos)  VALUES  ('20392847406','Energia Renovable del Sur ','raysareyesv@gmail.com',DATEADD(D,-1,GETDATE()),'3510',1)",,,,,
07/01/2025 14:22,jgarcia.industrial@gmail.com,INDUSTRIAS GARCIA HERMANOS S.R.L,20456789123,2511,JORGE LUIS GARCIA MENDOZA,administracion@igarciah.com.pe,987654321,2,"INSERT INTO EMPRESAS (RUC , RazonSocial, CorreoElectronico, FechaRegistro, CIIU, NumeroEstablecimientos)  VALUES  ('20456789123','INDUSTRIAS GARCIA HERMANOS S.R.L','jgarcia.industrial@gmail.com',DATEADD(D,-2,GETDATE()),'2511',2)",,,,,
07/02/2025 10:15,mperez.textil@hotmail.com,TEXTIL PERU NORTE S.A.C,20567891234,1311,MARIA ELENA PEREZ RODRIGUEZ,gerencia@textilpn.pe,965432187,3,"INSERT INTO EMPRESAS (RUC , RazonSocial, CorreoElectronico, FechaRegistro, CIIU, NumeroEstablecimientos)  VALUES  ('20567891234','TEXTIL PERU NORTE S.A.C','mperez.textil@hotmail.com',DATEADD(D,-3,GETDATE()),'1311',3)",,,,,
07/03/2025 16:45,rlopez.quimica@yahoo.com,QUIMICA INDUSTRIAL LIMA S.A,20678912345,2011,RICARDO LOPEZ SANCHEZ,contacto@quilima.com,954321876,1,"INSERT INTO EMPRESAS (RUC , RazonSocial, CorreoElectronico, FechaRegistro, CIIU, NumeroEstablecimientos)  VALUES  ('20678912345','QUIMICA INDUSTRIAL LIMA S.A','rlopez.quimica@yahoo.com',DATEADD(D,-1,GETDATE()),'2011',1)",,,,,
07/04/2025 09:30,crodriguez.minera@gmail.com,MINERA SAN MARTIN S.A.C,20789123456,721,CARLOS RODRIGUEZ VARGAS,info@minerasm.pe,943218765,5,"INSERT INTO EMPRESAS (RUC , RazonSocial, CorreoElectronico, FechaRegistro, CIIU, NumeroEstablecimientos)  VALUES  ('20789123456','MINERA SAN MARTIN S.A.C','crodriguez.minera@gmail.com',DATEADD(D,-5,GETDATE()),'721',5)",,,,,
